Event_Start,Event_End,Period_Start,Period_End,Country,Store_Region,Store,PS_BU,Team_Name,Team,Subteam_Name,Subteam,Brand,Nat_UPC,Item_Description,Size,UOM,Currency,Unit_Sales,Dollar_Sales,Dollar_Allowance,Percent_Allowance,Total_Dollar_Allowance,Total_Percent_Allowance,Invoice,Total_Allowance,PrimeId,Account,Transaction_Date,Lookback,LookbackApprovalDate,Bill_Type,Event_ID,Lawson_ID,LOC,Deduction_Type,Event_Enterer,Event_Approver,ScanbackId,Owner_Region,Scanback_Description
11/13/2024,12/03/2024,11/01/2024,11/30/2024,USA,NA,Arlington Center,10507,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081022,"VINEGAR CRUSHED STRAWBERRY",8,FZ,USD,1,11.59,0.64,0,0.64,0,,-0.64,AMZ_PRIME,,,,,PA,906312,,,,,,,,"AFFINITY 2024 GRO NOV B KOSTERINA 0.64"
11/13/2024,12/03/2024,11/01/2024,11/30/2024,USA,MA,Short Pump,10257,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081022,"VINEGAR CRUSHED STRAWBERRY",8,FZ,USD,1,11.59,0.64,0,0.64,0,,-0.64,AMZ_PRIME,,,,,PA,906312,,,,,,,,"AFFINITY 2024 GRO NOV B KOSTERINA 0.64"
11/13/2024,12/03/2024,11/01/2024,11/30/2024,USA,NC,Sebastopol,10137,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081022,"VINEGAR CRUSHED STRAWBERRY",8,FZ,USD,1,11.59,0.64,0,0.64,0,,-0.64,AMZ_PRIME,,,,,PA,906312,,,,,,,,"AFFINITY 2024 GRO NOV B KOSTERINA 0.64"
11/13/2024,12/03/2024,11/01/2024,11/30/2024,USA,SO,Northside Buckhead,10697,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081022,"VINEGAR CRUSHED STRAWBERRY",8,FZ,USD,1,11.59,0.64,0,0.64,0,,-0.64,AMZ_PRIME,,,,,PA,906312,,,,,,,,"AFFINITY 2024 GRO NOV B KOSTERINA 0.64"
11/13/2024,12/03/2024,11/01/2024,11/30/2024,USA,MA,Wynnewood NEW,10496,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081022,"VINEGAR CRUSHED STRAWBERRY",8,FZ,USD,1,11.59,0.64,0,0.64,0,,-0.64,AMZ_PRIME,,,,,PA,906312,,,,,,,,"AFFINITY 2024 GRO NOV B KOSTERINA 0.64"
11/13/2024,12/03/2024,11/01/2024,11/30/2024,USA,SO,Waverly,10592,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081022,"VINEGAR CRUSHED STRAWBERRY",8,FZ,USD,1,11.59,0.64,0,0.64,0,,-0.64,AMZ_PRIME,,,,,PA,906312,,,,,,,,"AFFINITY 2024 GRO NOV B KOSTERINA 0.64"
11/13/2024,12/03/2024,11/01/2024,11/30/2024,USA,NA,Hingham,10159,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081022,"VINEGAR CRUSHED STRAWBERRY",8,FZ,USD,1,11.59,0.64,0,0.64,0,,-0.64,AMZ_PRIME,,,,,PA,906312,,,,,,,,"AFFINITY 2024 GRO NOV B KOSTERINA 0.64"
11/13/2024,12/03/2024,11/01/2024,11/30/2024,USA,PN,Tanasbourne,10327,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081022,"VINEGAR CRUSHED STRAWBERRY",8,FZ,USD,1,11.59,0.64,0,0.64,0,,-0.64,AMZ_PRIME,,,,,PA,906312,,,,,,,,"AFFINITY 2024 GRO NOV B KOSTERINA 0.64"
11/13/2024,12/03/2024,11/01/2024,11/30/2024,USA,RM,Superior,10445,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081022,"VINEGAR CRUSHED STRAWBERRY",8,FZ,USD,1,11.59,0.64,0,0.64,0,,-0.64,AMZ_PRIME,,,,,PA,906312,,,,,,,,"AFFINITY 2024 GRO NOV B KOSTERINA 0.64"
11/13/2024,12/03/2024,11/01/2024,11/30/2024,USA,FL,Boca Raton,10130,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,11.59,0.64,0,0.64,0,,-0.64,AMZ_PRIME,,,,,PA,906312,,,,,,,,"AFFINITY 2024 GRO NOV B KOSTERINA 0.64"
11/13/2024,12/03/2024,11/01/2024,11/30/2024,USA,SO,Waverly,10592,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,11.59,0.64,0,0.64,0,,-0.64,AMZ_PRIME,,,,,PA,906312,,,,,,,,"AFFINITY 2024 GRO NOV B KOSTERINA 0.64"
11/13/2024,12/03/2024,11/01/2024,11/30/2024,USA,NA,Woburn,10233,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,11.59,0.64,0,0.64,0,,-0.64,AMZ_PRIME,,,,,PA,906312,,,,,,,,"AFFINITY 2024 GRO NOV B KOSTERINA 0.64"
11/13/2024,12/03/2024,11/01/2024,11/30/2024,USA,SO,Friendly Plaza,10426,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,11.59,0.64,0,0.64,0,,-0.64,AMZ_PRIME,,,,,PA,906312,,,,,,,,"AFFINITY 2024 GRO NOV B KOSTERINA 0.64"
11/13/2024,12/03/2024,11/01/2024,11/30/2024,USA,MA,P Street,10135,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,11.59,0.64,0,0.64,0,,-0.64,AMZ_PRIME,,,,,PA,906312,,,,,,,,"AFFINITY 2024 GRO NOV B KOSTERINA 0.64"
11/13/2024,12/03/2024,11/01/2024,11/30/2024,USA,SO,Wilmington,10453,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,11.59,0.64,0,0.64,0,,-0.64,AMZ_PRIME,,,,,PA,906312,,,,,,,,"AFFINITY 2024 GRO NOV B KOSTERINA 0.64"
11/13/2024,12/03/2024,11/01/2024,11/30/2024,USA,SO,Raleigh,10016,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,11.59,0.64,0,0.64,0,,-0.64,AMZ_PRIME,,,,,PA,906312,,,,,,,,"AFFINITY 2024 GRO NOV B KOSTERINA 0.64"
11/13/2024,12/03/2024,11/01/2024,11/30/2024,USA,RM,Washington Park,10373,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,11.59,0.64,0,0.64,0,,-0.64,AMZ_PRIME,,,,,PA,906312,,,,,,,,"AFFINITY 2024 GRO NOV B KOSTERINA 0.64"
11/13/2024,12/03/2024,11/01/2024,11/30/2024,USA,NC,Coddingtown,10370,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,11.59,0.64,0,0.64,0,,-0.64,AMZ_PRIME,,,,,PA,906312,,,,,,,,"AFFINITY 2024 GRO NOV B KOSTERINA 0.64"
11/13/2024,12/03/2024,11/01/2024,11/30/2024,USA,MA,Rockville White Flint,10235,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,11.59,0.64,0,0.64,0,,-0.64,AMZ_PRIME,,,,,PA,906312,,,,,,,,"AFFINITY 2024 GRO NOV B KOSTERINA 0.64"
11/13/2024,12/03/2024,11/01/2024,11/30/2024,USA,MW,Lincoln Park,10252,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081021,"VINEGAR CRUSHED TANGERINE",8,FZ,USD,1,11.59,0.64,0,0.64,0,,-0.64,AMZ_PRIME,,,,,PA,906312,,,,,,,,"AFFINITY 2024 GRO NOV B KOSTERINA 0.64"
11/13/2024,12/03/2024,11/01/2024,11/30/2024,USA,NE,Tribeca,10245,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081020,"VINEGAR CRUSHED BLUEBERRY",8,FZ,USD,1,11.99,0.64,0,0.64,0,,-0.64,AMZ_PRIME,,,,,PA,906312,,,,,,,,"AFFINITY 2024 GRO NOV B KOSTERINA 0.64"
11/13/2024,12/03/2024,11/01/2024,11/30/2024,USA,NC,San Mateo,10150,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081020,"VINEGAR CRUSHED BLUEBERRY",8,FZ,USD,1,11.99,0.64,0,0.64,0,,-0.64,AMZ_PRIME,,,,,PA,906312,,,,,,,,"AFFINITY 2024 GRO NOV B KOSTERINA 0.64"
11/13/2024,12/03/2024,11/01/2024,11/30/2024,USA,NE,Tribeca,10245,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081020,"VINEGAR CRUSHED BLUEBERRY",8,FZ,USD,1,11.99,0.64,0,0.64,0,,-0.64,AMZ_PRIME,,,,,PA,906312,,,,,,,,"AFFINITY 2024 GRO NOV B KOSTERINA 0.64"
