EVENT_START,EVENT_END,PERIOD_START,PERIOD_END,COUNTRY,STOREREGION,STORE,PS_BU,TEAM_NAME,TEAM,SUBTEAM_NAME,SUBTEAM,BRAND,NAT_UPC,ITEM_DESCRIPTION,SIZE,UOM,CURRENCY,UNIT_SALES,DOLLAR_SALES,DOLLARALLOWANCE,PERCENTALLOWANCE,TOTALDOLLARALLOWANCE,TOTALPERCENTALLOWANCE,TOTALALLOWANCE,PRIMEID,BILL_TYPE,EVENT_ID,SCANBACK_DESCRIPTION
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,MA,Newtown,10625,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,2.00,13.98,0.45,0.00,0.90,0.00,-0.90,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,MA,Spring House,10599,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,1.00,6.99,0.45,0.00,0.45,0.00,-0.45,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,MA,Glen Mills,10353,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,1.00,6.99,0.45,0.00,0.45,0.00,-0.45,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,MW,Cedar Center,10199,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,2.00,13.98,0.45,0.00,0.90,0.00,-0.90,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,NE,Edgewater,10102,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,1.00,6.99,0.45,0.00,0.45,0.00,-0.45,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,FL,North Miami,10477,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,1.00,6.99,0.45,0.00,0.45,0.00,-0.45,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,MW,Streeterville,10571,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,1.00,6.99,0.45,0.00,0.45,0.00,-0.45,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,MA,Newport News,10525,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,1.00,6.99,0.45,0.00,0.45,0.00,-0.45,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,MW,East Lansing,10541,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,2.00,13.98,0.45,0.00,0.90,0.00,-0.90,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,MA,Inner Harbor Relocation,10638,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,1.00,6.99,0.45,0.00,0.45,0.00,-0.45,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,MA,Pittsburgh,10694,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081069,"OLIVES KALAMATA GREEK HERB OG",6.7,OZ,USD,2.00,13.98,0.45,0.00,0.90,0.00,-0.90,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,FL,Carrollwood,10339,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081071,"OLIVES KALAMATA SPICY OG",6.7,OZ,USD,1.00,6.99,0.45,0.00,0.45,0.00,-0.45,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
2024-11-13 00:00:00,2024-12-03 00:00:00,2024-12-01 00:00:00,2024-12-31 00:00:00,USA,MW,West Lane,10385,Grocery,100,"Baking, Meals, Essentials",1000,KSTRNA,0081008081071,"OLIVES KALAMATA SPICY OG",6.7,OZ,USD,1.00,6.99,0.45,0.00,0.45,0.00,-0.45,AMZ_PRIME,PA,906311,AFFINITY 2024 GRO NOV B KOSTERINA 0.45
